Group_Name,Population_Proportion,Population_Size,Initial_Infection_Rate,Initial_Infections
Black,0.1543489025880371,771744.5129401855,5.4792118701645955e-06,4.228551696036258
Black_Forced_Labour,0.0365016,182508.0,5.4792118701645955e-06,1.0
Black_Police,0.0007289600000000001,3644.8,5.4792118701645955e-06,0.01997063142437592
Black_Prison,0.002376376166304,11881.88083152,5.4792118701645955e-06,0.06510334249194556
White,0.7600379997397839,3800189.9986989195,5.4792118701645955e-06,20.8220461497519
White_Forced_Labour,0.1359,679500.0,5.4792118701645955e-06,3.7231244657768428
White_Police,0.00202757968,10137.8984,5.4792118701645955e-06,0.05554769325180266
White_Prison,0.002663623833696,13318.119168480001,5.4792118701645955e-06,0.07297279663620225
