Group_Name,model_tag,cumulative_infected_40_days,cumulative_rate_40_days,active_rate_before_peak,cumulative_before_peak,cumulative_rate_before_peak,days_peak,peak_active_infected_rate,cumulative_peak,cumulative_rate_peak,active_rate_after_peak,cumulative_after_peak,cumulative_rate_after_peak,cumulative_infected_120_days,cumulative_rate_120_days,model_name,Policy_Lever,Initial_Infections,Lockdown_Date,Prison_Rate,Police_Contact_Rate,Police_Group_Size
Total_w_Police,I10_PI0.35_L14___pcNone_pgrpNone,538705.0,0.09888622851374199,0.20910318502322406,1466034.0,0.26910938850189847,54,0.2105185727553607,1613106.0,0.29610634490655974,0.20944511200640425,1753047.0,0.3217943145828048,3837640.0,1.0,no_prison,no_policy,10,14,0.35,10,17
Black,I10_PI0.35_L14___pcNone_pgrpNone,21692.0,0.028107747624091305,0.13311676817109788,114788.0,0.1487383429040288,61,0.1860436420674549,201686.0,0.2613377829297658,0.16796173294548739,155698.0,0.20174811403170606,333850.0,0.0,no_prison_or_police,no_policy,10,14,0.35,10,17
Black_Forced_Labour,I10_PI0.35_L14___pcNone_pgrpNone,18371.0,0.10065860126679378,0.3573711579852436,75307.0,0.4126230083064852,56,0.389160748189635,92957.0,0.5093310978148903,0.389160748189635,92957.0,0.5093310978148903,150323.0,1.0,no_prison_or_police,no_policy,10,14,0.35,10,17
White,I10_PI0.35_L14___pcNone_pgrpNone,395389.0,0.10404453465099647,0.18692171904041546,954688.0,0.25122112324037976,51,0.188935094109906,911198.0,0.23977695860258802,0.1781955510284386,1121742.0,0.29518050423374975,2731808.0,1.0,no_prison_or_police,no_policy,10,14,0.35,10,17
White_Forced_Labour,I10_PI0.35_L14___pcNone_pgrpNone,99710.0,0.14674025018395878,0.37396527241442024,312301.0,0.4596041206769684,54,0.38104071222677455,343690.0,0.5057983811626195,0.3774771128459227,371987.0,0.5474422369389257,603398.0,1.0,no_prison_or_police,no_policy,10,14,0.35,10,17
Total_Residents,I10_PI0.35_L14___pcNone_pgrpNone,535163.0,0.09848521563371718,0.2083943063687218,1457084.0,0.268144905265198,54,0.2098149336286417,1603281.0,0.2950493120907868,0.20874735833058336,1742384.0,0.32064822111532126,3819378.0,1.0,no_prison_or_police,no_policy,10,14,0.35,10,17
Total_w_Police,I10_PI0.35_L14___pcNone_pgrpNone,537801.0,0.09872028769162891,0.20875559527228027,1463576.0,0.2686581910010645,54,0.2101606231983405,1610366.0,0.2956033826802436,0.2090785107368849,1750029.0,0.3212403218824317,3832337.0,1.0,no_prison_or_police,no_policy,10,14,0.35,10,17
Black,I10_PI0.35_L14___pcNone_pgrpNone,36130.0,0.03786209573467972,0.14709752650180005,159742.0,0.1674001355341602,58,0.17001632726507263,222409.0,0.23307143233474623,0.16721574904016484,202912.0,0.2126397334546175,407182.0,0.0,no_forced_labour,no_policy,10,14,0.35,10,17
Black_Forced_Labour,I10_PI0.35_L14___pcNone_pgrpNone,0.0,,,0.0,,0,,0.0,,,0.0,,0.0,,no_forced_labour,no_policy,10,14,0.35,10,17
White,I10_PI0.35_L14___pcNone_pgrpNone,453305.0,0.10119115388155381,0.17731175978785846,1075079.0,0.23998959756417199,51,0.17978587899308843,1027122.0,0.2292841692836596,0.1677483398871521,1260372.0,0.281352504384469,3163436.0,1.0,no_forced_labour,no_policy,10,14,0.35,10,17
